,original_id,aug_id,name,description,notice_url,budget,country_name,country_code,sector,region_name,state,epublished_date,bid_opening_date,bid_submission_end_date
0,0730-234011SZ0321/03,0730-234011SZ0321/03,Procurement of 0730-234011SZ0321/03 NanTong SCC Project -Automatic Tearing machine (1),"AVIC International Trade & Economic Development ., LTD entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.chinabidding.com on2023-10-01
",https://www.chinabidding.com/en/detail/256253982-BidNoticeEn.html,$100,China,CN,Machining,Region: Jiangsu Province,Region: Jiangsu Province,2023-10-01,2023-10-01,2023-10-24
1,0613-234023114588/02,0613-234023114588/02,Procurement of 0613-234023114588/02 fluorescence spectrophotometer(2),"Shanghai Machinery & Electric Equipment Tendering Co.,Ltd. entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.chinabidding.com on2023-09-29
",https://www.chinabidding.com/en/detail/256253981-BidNoticeEn.html,$120,China,CN,Apparatus and Meter,Region: Shanghai,Region: Shanghai,2023-09-29,2023-09-29,2023-10-20
2,0613-234023114588/01,0613-234023114588/01,Procurement of 0613-234023114588/01 Calcium imaging analysis system (2),"Shanghai Machinery & Electric Equipment Tendering Co.,Ltd. entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.chinabidding.com on2023-09-29
",https://www.chinabidding.com/en/detail/256253980-BidNoticeEn.html,$120,China,CN,Apparatus and Meter,Region: Shanghai,Region: Shanghai,2023-09-29,2023-09-29,2023-10-20
3,0613-234023114589,0613-234023114589,Procurement of 0613-234023114589 Dissipative quartz crystal microbalance analyzer(2),"Shanghai Machinery & Electric Equipment Tendering Co.,Ltd. entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.chinabidding.com on2023-09-29
",https://www.chinabidding.com/en/detail/256253979-BidNoticeEn.html,$120,China,CN,Apparatus and Meter,Region: Shanghai,Region: Shanghai,2023-09-29,2023-09-29,2023-10-20
4,0854-234HNWXZB043,0854-234HNWXZB043,"Procurement of 0854-234HNWXZB043 ICB Procurement of multicolor offset press For Henan Huafu Packaging Technology Co.,Ltd(2)","HENAN PROVINCE WEIXIN TENDING MANAGE CONSULTING CORPORATION entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.chinabidding.com on2023-09-29
",https://www.chinabidding.com/en/detail/256253978-BidNoticeEn.html,$160,China,CN,"Publishing & printing, packagi",Region: Henan Province,Region: Henan Province,2023-09-29,2023-09-29,2023-10-20
5,0730-234011SZ0321/01,0730-234011SZ0321/01,Procurement of 0730-234011SZ0321/01 NanTong SCC Project -An insoluble anode (Rebid)(2),"AVIC International Trade & Economic Development ., LTD entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.chinabidding.com on2023-09-29
",https://www.chinabidding.com/en/detail/256253977-BidNoticeEn.html,$100,China,CN,Apparatus and Meter,Region: Jiangsu Province,Region: Jiangsu Province,2023-09-29,2023-09-29,2023-10-20
6,0730-234011SZ0322/03,0730-234011SZ0322/03,Procurement of 0730-234011SZ0322/03 WuXi SCC Project-High density automatic testing machine (Rebid)(2),"AVIC International Trade & Economic Development ., LTD entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.chinabidding.com on2023-09-29
",https://www.chinabidding.com/en/detail/256253976-BidNoticeEn.html,$100,China,CN,Apparatus and Meter,Region: Jiangsu Province,Region: Jiangsu Province,2023-09-29,2023-09-29,2023-10-20
7,0730-234011SZ0322/02,0730-234011SZ0322/02,Procurement of 0730-234011SZ0322/02 WuXi SCC Project-LDD brown machine (Rebid)(2),"AVIC International Trade & Economic Development ., LTD entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.chinabidding.com on2023-09-29
",https://www.chinabidding.com/en/detail/256253975-BidNoticeEn.html,$100,China,CN,Others,Region: Jiangsu Province,Region: Jiangsu Province,2023-09-29,2023-09-29,2023-10-20
8,0730-234011SZ0322/01,0730-234011SZ0322/01,Procurement of 0730-234011SZ0322/01 WuXi SCC Project-Horizontal hole flash plating machine (Rebid)(2),"AVIC International Trade & Economic Development ., LTD entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.chinabidding.com on2023-09-29
",https://www.chinabidding.com/en/detail/256253974-BidNoticeEn.html,$100,China,CN,Others,Region: Jiangsu Province,Region: Jiangsu Province,2023-09-29,2023-09-29,2023-10-20
9,0712-234062303061,0712-234062303061,"Procurement of 0712-234062303061 Zhongke (Guangdong) Refinery & Petrochemical Co., Ltd. Gel Permeation Chromatograph(1)","Sinopec International Co.,Ltd. entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.chinabidding.com on2023-09-29
",https://www.chinabidding.com/en/detail/256253973-BidNoticeEn.html,$40,China,CN,Apparatus and Meter,Region: Guangdong Province,Region: Guangdong Province,2023-09-29,2023-09-29,2023-10-20
